contract_address,token_id,from_address,to_address,amount,type,tx_hash,block_number,ts,tx_index,log_id,internal_tx_index,batch_transfer,value
79355137,16701813,0x7431183f79a0fa8177c58704043fc34822e54697b46763414ecca20750322ee4,0xc0f6cc4b7e67f0518851068601c9f7c4ef18b201,721,0x0000000000000000000000000000000000000000000000000000000000000c15,1,0x255e20009c1a7d1722c05f8f36159b6ff71710b1,0x1d2ac524c558cbe6601d7f0073acb5a7ba33fa8a,0x0000000000000000000000000000000000000000,40000000000000000,seaport,2023-02-25 00:43:11,64.07146630659538
79355138,16701813,0x7431183f79a0fa8177c58704043fc34822e54697b46763414ecca20750322ee4,0xc0f6cc4b7e67f0518851068601c9f7c4ef18b201,721,0x0000000000000000000000000000000000000000000000000000000000001650,1,0x2cc6b655d03f67af9f76d2f62e685d49a3d565e8,0x1d2ac524c558cbe6601d7f0073acb5a7ba33fa8a,0x0000000000000000000000000000000000000000,40000000000000000,seaport,2023-02-25 00:43:11,64.07146630659538
79355139,16701813,0x06cab70f20790e7767822f392d0c3305b2c9b83e138aa9d3136ffe395f172915,0x080c23415bd7f11fd8caea9d132a89e866028af3,721,0x000000000000000000000000000000000000000000000000000000000000170d,1,0xf5bad0537e3fb3ee558c21de02617498a0f5ff67,0x6401eb35a3097dcafcaf9614bfaf626e8ca52183,0x0000000000000000000000000000000000000000,18200000000000000,seaport,2023-02-25 00:43:11,29.152517169500896
79355140,16701813,0xff178dd76a4b41e7cfba850767ce3378c837282eb9ffe28a59571a9fa3679f23,0x76236b6f13f687d0bbedbbce0e30e9f07d071c1c,721,0x000000000000000000000000000000000000000000000000bf868f4189515800,1,0x86781d4f9d6e58e7e7363ff089ab340e5352ecc7,0x413df9c041d2a3932f49cab98ee7ddda48bd59f2,0x0000000000000000000000000000000000000000,2750000000000000000,seaport,2023-02-25 00:43:11,4404.913308578432
79355141,16701814,0xa8c5d8445cf973fc707696c92bd37c349fbf7beaa921bc8547eee21985158b37,0xd4307e0acd12cf46fd6cf93bc264f5d5d1598792,721,0x000000000000000000000000000000000000000000000000000000000000047c,1,0xa63bdff046f7945201ec9bc4cdb1d885722d39d8,0x5e6a905f64db6d3bdb163434e48a56c005221ffd,0x0000000000000000000000000000000000000000,22000000000000000,seaport,2023-02-25 00:43:23,35.239306468627454
79355142,16701814,0x97014651b8266147b39c12d6bf6f4d6366a072e0c3e23f8998d7fca767e47588,0xe6cc637f18ac18ee0c674b04c59f885a6f9b6a14,721,0x00000000000000000000000000000000000000000000000000000000000002fd,1,0xe91c4ec4a439ec9d6b11ef8d1df11b35142df7c9,0x49a4b5e6a52ce2f0cda93218237b851280a42851,0x0000000000000000000000000000000000000000,6500000000000000,seaport,2023-02-25 00:43:23,10.411613274821748
79355143,16701814,0x1f54e7a7e37dabe5b0c2ea9a30dbf54a65fdd72c5061a169468d92f80f4aebcc,0xf7f02f28976a2e938224d4cf759ee6e7e788c6e3,721,0x000000000000000000000000000000000000000000000000000000000000044c,1,0x787174f9eed400746892347c0d5745a70306b7e3,0x18cc1d552b163448f4b19541550544dc128e00d0,0x0000000000000000000000000000000000000000,35000000000000000,seaport,2023-02-25 00:43:23,56.06253301827096
79355144,16701814,0x1f54e7a7e37dabe5b0c2ea9a30dbf54a65fdd72c5061a169468d92f80f4aebcc,0xf7f02f28976a2e938224d4cf759ee6e7e788c6e3,721,0x000000000000000000000000000000000000000000000000000000000000041b,1,0x22d2f2486d278f9eb7a2e8b6638f02b166047105,0x18cc1d552b163448f4b19541550544dc128e00d0,0x0000000000000000000000000000000000000000,38000000000000000,seaport,2023-02-25 00:43:23,60.867892991265606
79355145,16701815,0x968cc8d4a46b34281a3a4ceef3dec3fd0518ef1eb9d869825acb6e13ed7f9965,0x0be697ce3f41508510ccf502c55c37990274f05e,721,0x0000000000000000000000000000000000000000000000000000000000000795,1,0x8526e4f21d060ef0ef2e69d2a00392e82eefa63d,0xe4fb057c253cc5dd67d713118e0691590476bbc2,0x0000000000000000000000000000000000000000,87000000000000000,seaport,2023-02-25 00:43:35,139.35543921684493
79355146,16701815,0x1088d9e2e730ee4b109d5c8b1bd23ff32e02ce661d486f4aff3e721d56ebd64f,0x60e4d786628fea6478f785a6d7e704777c86a7c6,721,0x0000000000000000000000000000000000000000000000000000000000001019,1,0x3156132953f788f66b720f07a9e7870cbfcf7fbb,0x7a42e4a75742eba5e962e486c039b955f27fd691,0x0000000000000000000000000000000000000000,14490000000000000000,seaport,2023-02-25 00:43:35,23209.888669564174
